Descrição;Média Mensal
Comércio atacadista de cosméticos e produtos de perfumaria;1
Atividades de televisão aberta;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.;1
Distribuidoras de títulos e valores mobiliários;1
Manutenção e reparação de máquinas e equipamentos para a indústria têxtil, do vestuário, do couro e calçados;1
Representantes comerciais e agentes do comércio de mercadorias em geral não especializado;1
Atividades de vigilância e segurança privada;1
Concessionárias de rodovias, pontes, túneis e serviços relacionados;2
Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos;1
Fabricação de artefatos de material plástico para outros usos não especificados anteriormente;1
Atividades de televisão aberta;1
Atividades de televisão aberta;1
Comércio varejista de combustíveis para veículos automotores;4
Comércio por atacado de peças e acessórios novos para veículos automotores;1
Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;1
Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana;1
Locação de mão-de-obra temporária;1
Locação de mão-de-obra temporária;1.75
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Construção de edifícios;1
Manutenção de estações e redes de telecomunicações;1
Comércio a varejo de automóveis, camionetas e utilitários novos;1
Fabricação de outros produtos de metal não especificados anteriormente;1.5
Fabricação de outros produtos de metal não especificados anteriormente;1.714285714
Condomínios prediais;1
Comércio a varejo de motocicletas e motonetas novas;1
Laboratórios clínicos;1.333333333
Serviços de tratamento e revestimento em metais;1
Atividades de vigilância e segurança privada;1
Condomínios prediais;1
Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador re;1.2
Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica;1
Fabricação de vidro plano e de segurança;1.333333333
Fabricação de vidro plano e de segurança;1
Educação infantil - pré-escola;8
Fabricação de fraldas descartáveis;2.8
Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente;1.5
Comércio atacadista de produtos de higiene pessoal;1
Fabricação de defensivos agrícolas;1
Justiça;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Fabricação de adubos e fertilizantes, exceto organo-minerais;1
Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal;2
Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador;1
Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;1.470588235
Administração pública em geral;1
Administração pública em geral;1
Edição integrada à impressão de cadastros, listas e de outros produtos gráficos;1
Fabricação de produtos petroquímicos básicos;1
Confecção de roupas íntimas;1
Atividade médica ambulatorial com recursos para realização de exames complementares;1.5
Condomínios prediais;1
Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo;1
Hotéis;1.4
Fabricação de outros produtos alimentícios não especificados anteriormente;3.5
Fabricação de outros produtos alimentícios não especificados anteriormente;4.148148148
Atividades de vigilância e segurança privada;1
Serviços combinados de escritório e apoio administrativo;1.285714286
Locação de mão-de-obra temporária;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Atividades de vigilância e segurança privada;1.666666667
Desenvolvimento e licenciamento de programas de computador customizáveis;1
Limpeza em prédios e em domicílios;1.428571429
Limpeza em prédios e em domicílios;1.5
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;1
Preparação de massa de concreto e argamassa para construção;1
Comércio a varejo de automóveis, camionetas e utilitários novos;1
Construção de edifícios;1
Fabricação de embalagens de material plástico;12.5
Atividades de associações de defesa de direitos sociais;1.166666667
Comércio varejista de combustíveis para veículos automotores;1
Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida;4
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;1.6
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;2
Atividades de associações de defesa de direitos sociais;2
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;3
Fundição de metais não-ferrosos e suas ligas;1.555555556
Atividades de condicionamento físico;1
Fornecimento de alimentos preparados preponderantemente para empresas;1
Fabricação de aguardente de cana-de-açúcar;1.5
Padaria e confeitaria com predominância de revenda;1
Fabricação de adubos e fertilizantes, exceto organo-minerais;1
Recuperação de materiais metálicos, exceto alumínio;1
Recuperação de materiais metálicos, exceto alumínio;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;2
Serviços combinados para apoio a edifícios, exceto condomínios prediais;1.375
Atividades de limpeza não especificadas anteriormente;2
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;2
Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central;1
Formação de condutores;2
Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal;1
Fundição de ferro e aço;1
Fabricação de móveis com predominância de madeira;1
Distribuição de energia elétrica;1
Distribuição de energia elétrica;1
Distribuição de energia elétrica;1
Distribuição de energia elétrica;1
Distribuição de energia elétrica;1
Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada;2
Atividades de rádio;9
"Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças";1
"Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças";1
Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências;1.2
Serviços combinados de escritório e apoio administrativo;1
Serviços móveis de atendimento a urgências, exceto por UTI móvel;1
Casas lotéricas;1
Serviços combinados de escritório e apoio administrativo;1.25
Ensino médio;1
Obras de terraplenagem;1
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;3.5
Locação de mão-de-obra temporária;1.5
Locação de mão-de-obra temporária;1
Locação de mão-de-obra temporária;3.119047619
Locação de mão-de-obra temporária;1.2
Locação de mão-de-obra temporária;1.6
Locação de mão-de-obra temporária;1
Fabricação de esquadrias de metal;3.5
Serviços de comunicação multimídia - SCM;10.66666667
"Comércio atacadista de Máquinas e equipamentos para uso industrial; partes e peças";1
Comércio varejista de artigos do vestuário e acessórios;3.5
Administração pública em geral;1.357142857
Laboratórios clínicos;2
Holdings de instituições não-financeiras;1
Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas;1
Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas;1
Comércio varejista de combustíveis para veículos automotores;1
Montagem de estruturas metálicas;1
Serviços de engenharia;1.833333333
Motéis;3
Hotéis;1.444444444
Serviços de usinagem, tornearia e solda;1
Atividades de organizações religiosas ou filosóficas;1
Atividades de organizações religiosas ou filosóficas;1
Atividades de organizações religiosas ou filosóficas;1.5
Comércio por atacado de caminhões novos e usados;1
Comércio varejista de outros produtos não especificados anteriormente;1
Fabricação de chapas e de embalagens de papelão ondulado;1.5
Lanchonetes, casas de chá, de sucos e similares;1.571428571
Instalação e manutenção elétrica;1.5
Comércio varejista de materiais de construção em geral;1
Fabricação de móveis com predominância de madeira;1
Fabricação de outros produtos têxteis não especificados anteriormente;1
Atividades de vigilância e segurança privada;1
Recuperação de materiais não especificados anteriormente;1
Desenvolvimento de programas de computador sob encomenda;1
Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas, exceto obras de irrigação;1
Restaurantes e similares;1
Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação;1
Atividades de teleatendimento;1
Armazéns gerais - emissão de warrant;1.4
Armazéns gerais - emissão de warrant;1.222222222
Administração de obras;1
Limpeza em prédios e em domicílios;1
Atividades de teleatendimento;17.41666667
Atividades de teleatendimento;1
Atividades de teleatendimento;45.58333333
Comércio varejista de combustíveis para veículos automotores;4
Comércio varejista especializado de equipamentos de telefonia e comunicação;1.6
Transporte rodoviário de produtos perigosos;1
Transporte rodoviário de produtos perigosos;1
Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios;1.333333333
Atividades de associações de defesa de direitos sociais;1.5
Testes e análises técnicas;1.285714286
Testes e análises técnicas;1.2
Fabricação de embalagens de material plástico;1
Concessionárias de rodovias, pontes, túneis e serviços relacionados;1
Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;1
Atividades de vigilância e segurança privada;1
Atividades de associações de defesa de direitos sociais;1
Desenvolvimento e licenciamento de programas de computador customizáveis;3.375
Fabricação de celulose e outras pastas para a fabricação de papel;1
Comércio varejista de materiais de construção não especificados anteriormente;1
Condomínios prediais;1
Comércio a varejo de motocicletas e motonetas novas;1.5
Comércio a varejo de motocicletas e motonetas novas;1
Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente;1
Obras de montagem industrial;2.066666667
Atividades de contabilidade;1
Lanchonetes, casas de chá, de sucos e similares;5.285714286
Atividade médica ambulatorial com recursos para realização de exames complementares;1
Comércio atacadista de madeira e produtos derivados;2
Fabricação de cabines, carrocerias e reboques para caminhões;1
Comércio varejista de madeira e artefatos;2
Agências de publicidade;4.666666667
Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;1.5
Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;2
Comércio atacadista de bicicletas, triciclos e outros veículos recreativos;1
Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias;1
Locação de automóveis sem condutor;1
Lanchonetes, casas de chá, de sucos e similares;1
Construção de edifícios;5.705882353
Transporte ferroviário de carga;1.772727273
Restaurantes e similares;1
Comércio a varejo de pneumáticos e câmaras-de-ar;1
Comércio varejista especializado de equipamentos de telefonia e comunicação;1
Fabricação de alimentos para animais;1.2
Serviços combinados de escritório e apoio administrativo;1
Comércio atacadista de material elétrico;1
Atividades de associações de defesa de direitos sociais;1
Condomínios prediais;2
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Comércio a varejo de peças e acessórios novos para veículos automotores;1.6
Comércio a varejo de pneumáticos e câmaras-de-ar;1
Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente;1.285714286
Serviços combinados de escritório e apoio administrativo;1
Construção de edifícios;1
Fabricação de aditivos de uso industrial;1
Comércio varejista de ferragens e ferramentas;1
Coleta de resíduos não-perigosos;1
Tratamento e disposição de resíduos não-perigosos;2.866666667
Coleta de resíduos não-perigosos;1.166666667
Coleta de resíduos não-perigosos;1.5
Comércio varejista de artigos do vestuário e acessórios;3
Atividades de associações de defesa de direitos sociais;1
Fornecimento de alimentos preparados preponderantemente para empresas;2.541666667
Fornecimento de alimentos preparados preponderantemente para empresas;1
Fornecimento de alimentos preparados preponderantemente para empresas;2.25
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;6.851851852
Atividades de contabilidade;1
Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal;1.25
Cabeleireiros, manicure e pedicure;1
Cabeleireiros, manicure e pedicure;1
Fabricação de refrigerantes;1
Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional;1.904761905
Fornecimento de alimentos preparados preponderantemente para empresas;1
Comércio atacadista de ferragens e ferramentas;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;2
Comércio varejista de combustíveis para veículos automotores;1
Obras de terraplenagem;1
Educação superior - pós-graduação e extensão;1
Comércio varejista de combustíveis para veículos automotores;1
Formação de condutores;1
Corretagem no aluguel de imóveis;1
Hotéis;1
Fundição de ferro e aço;2.1
Transporte rodoviário de produtos perigosos;1.3
Transporte rodoviário de produtos perigosos;1.705882353
Transporte rodoviário de produtos perigosos;1
Transporte rodoviário de produtos perigosos;1
Transporte rodoviário de produtos perigosos;1
Atividades de associações de defesa de direitos sociais;1
Comércio varejista de móveis;3
Comércio varejista de outros produtos não especificados anteriormente;1
Recuperação de sucatas de alumínio;2.173913043
Recuperação de sucatas de alumínio;1.5
Construção de rodovias e ferrovias;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Serviços de operação e fornecimento de equipamentos para transporte e elevação de cargas e pessoas para uso em obras;1
Comércio a varejo de peças e acessórios novos para  motocicletas e motonetas;1
Serviços de usinagem, tornearia e solda;1
Organização de excursões em veículos rodoviários próprios, intermunicipal, interestadual e internacional;1
Comércio varejista de móveis;1
Comércio varejista de móveis;1.666666667
Comércio varejista de móveis;1
Construção de rodovias e ferrovias;2
Fabricação de artefatos de material plástico para usos industriais;1
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;1
Suporte técnico, manutenção e outros serviços em tecnologia da informação;1
Suporte técnico, manutenção e outros serviços em tecnologia da informação;1
Locação de mão-de-obra temporária;1
Educação infantil - pré-escola;1
Fabricação de artefatos de material plástico para outros usos não especificados anteriormente;1
Fabricação de materiais para medicina e odontologia;1
Fabricação de fios, cabos e condutores elétricos isolados;1.272727273
Metalurgia do cobre;1.666666667
Serviços de telefonia fixa comutada - STFC;1
Instalação e manutenção elétrica;3.5
Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia;1
Formação de condutores;1
Suporte técnico, manutenção e outros serviços em tecnologia da informação;1
Fabricação de canetas, lápis e outros artigos para escritório;1
Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos;1.6
Lanchonetes, casas de chá, de sucos e similares;2.306122449
Lanchonetes, casas de chá, de sucos e similares;1.578947368
Lanchonetes, casas de chá, de sucos e similares;1.454545455
Lanchonetes, casas de chá, de sucos e similares;2.333333333
Fabricação de aditivos de uso industrial;2
Comércio a varejo de motocicletas e motonetas novas;1
Comércio atacadista de ferragens e ferramentas;1
Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal em região metropolitana;2
Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente, peças e acessórios;1.333333333
Comércio varejista de artigos de relojoaria;6
Hotéis;1
Hotéis;1
Atividade médica ambulatorial restrita a consultas;1
Atividades de vigilância e segurança privada;1
Fabricação de produtos químicos orgânicos não especificados anteriormente;1.166666667
Serviços combinados de escritório e apoio administrativo;1.5
Hotéis;1.318181818
Serviços advocatícios;2.25
Outras obras de engenharia civil não especificadas anteriormente;1
Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;1
Condomínios prediais;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1.555555556
Serviços advocatícios;1.166666667
Instalação, manutenção e reparação de elevadores, escadas e esteiras rolantes;3
Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;3.444444444
Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional;1
Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional;1
Estacionamento de veículos;1
Seleção e agenciamento de mão-de-obra;1
Fornecimento e gestão de recursos humanos para terceiros;1
Fornecimento e gestão de recursos humanos para terceiros;1
Serviços de preparação do terreno não especificados anteriormente;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;2
Construção de edifícios;2
Serviços de pré-impressão;1
Frigorífico - abate de bovinos;1
Frigorífico - abate de bovinos;1.5
Educação superior - graduação;3
Condomínios prediais;1
Comércio varejista especializado de equipamentos de telefonia e comunicação;2.333333333
Serviços de engenharia;1
Comércio atacadista de produtos alimentícios em geral;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.;1
Fabricação de adubos e fertilizantes, exceto organo-minerais;1.125
Fabricação de adubos e fertilizantes, exceto organo-minerais;1
Produção de laminados planos de aço ao carbono, revestidos ou não;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes;1
Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador;1
Condomínios prediais;1
Confecção de roupas íntimas;2
Locação de mão-de-obra temporária;1.272727273
Comércio varejista de hortifrutigranjeiros;2.2
Educação superior - graduação e pós-graduação;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;1
Comércio varejista de materiais de construção em geral;2.444444444
Comércio varejista de materiais de construção em geral;1
Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências;1
Educação superior - graduação;1.55
Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança;1
Comércio varejista de calçados;1
Formação de condutores;3
Construção de rodovias e ferrovias;1
Ensino fundamental;1.666666667
Ensino fundamental;1
Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;1
Corretoras de títulos e valores mobiliários;1
Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;1.875
Imunização e controle de pragas urbanas;1
Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios;1
Fornecimento e gestão de recursos humanos para terceiros;1
Fabricação de embalagens metálicas;1
Sociedade seguradora de seguros vida;1
Comércio varejista especializado de equipamentos de telefonia e comunicação;1
Ensino fundamental;2
Atividades de condicionamento físico;1
Comércio varejista de materiais de construção não especificados anteriormente;1
Fabricação de tintas, vernizes, esmaltes e lacas;1.25
Lanchonetes, casas de chá, de sucos e similares;2
Atividade médica ambulatorial restrita a consultas;1
Comércio varejista de combustíveis para veículos automotores;1.357142857
Administração de cartões de crédito;2.862068966
Armazéns gerais - emissão de warrant;1
Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;1
Serviços de capotaria;1
Serviços combinados de escritório e apoio administrativo;4.214285714
Fabricação de colchões;1
Planos de saúde;1
Fabricação de móveis com predominância de madeira;1
Testes e análises técnicas;1
Agências de publicidade;1
Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda;1.5
Serviços de engenharia;2
Serviços de funerárias;1.571428571
Atividades paisagísticas;1
Fabricação de aparelhos e equipamentos de medida, teste e controle;1
Restaurantes e similares;1.5
Manutenção e reparação de outras máquinas e equipamentos para usos industriais não especificados anteriormente;3.333333333
Armazéns gerais - emissão de warrant;4
Motéis;1
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;1
Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional;1.285714286
Locação de mão-de-obra temporária;1
Serviços de manutenção e reparação mecânica de veículos automotores;1
Formação de condutores;1
Atividades de organizações religiosas ou filosóficas;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.5
Condomínios prediais;1
Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias;1.166666667
Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida;1
Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Atividades técnicas relacionadas à engenharia e arquitetura não especificadas anteriormente;1.166666667
Ensino fundamental;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Fabricação de artefatos de material plástico para uso pessoal e doméstico;6.666666667
Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis;1
Comércio varejista de plantas e flores naturais;1.2
Educação superior - graduação;1
Hotéis;1
Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento;2.36
Correspondentes de instituições financeiras;1.272727273
Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente;9.5
Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente;3.333333333
Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente;15
Hotéis;1.2
Comércio varejista de combustíveis para veículos automotores;1
Fabricação de açúcar em bruto;1
Fabricação de açúcar em bruto;1
Obras de terraplenagem;1
Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida;1
Comércio atacadista de pescados e frutos do mar;1.5
Estacionamento de veículos;2
Compra e venda de imóveis próprios;1
Condomínios prediais;1.5
Fabricação de produtos derivados do cacau e de chocolates;1
Planos de saúde;1
Atividades de monitoramento de sistemas de segurança eletrônico;1
Fornecimento e gestão de recursos humanos para terceiros;1.870967742
Restaurantes e similares;2.8
Locação de mão-de-obra temporária;1
Comércio atacadista de medicamentos e drogas de uso humano;1.333333333
Atividades associativas não especificadas anteriormente;2
Atividades de contabilidade;1
Comércio varejista de artigos de joalheria;1
Serrarias com desdobramento de madeira em bruto;2
Justiça;1
Locação de mão-de-obra temporária;7.516129032
Educação superior - graduação e pós-graduação;1
Fabricação de móveis com predominância de madeira;1.461538462
Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio;1
Consultoria em publicidade;1
Locação de mão-de-obra temporária;1.5
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.612903226
Fabricação de artigos de metal para uso doméstico e pessoal;1
Lanchonetes, casas de chá, de sucos e similares;1
Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida;1
Fabricação de tecidos especiais, inclusive artefatos;2
Montagem de estruturas metálicas;1
Planos de saúde;1
Fabricação de artefatos de joalheria e ourivesaria;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.;1
Gestão de ativos intangíveis não-financeiros;1.5
Fabricação de móveis com predominância de madeira;8.5
Fabricação de embalagens de material plástico;1
Cantinas - serviços de alimentação privativos;10
Lanchonetes, casas de chá, de sucos e similares;1.142857143
Fornecimento de alimentos preparados preponderantemente para empresas;1.5
Cantinas - serviços de alimentação privativos;1
Fornecimento de alimentos preparados preponderantemente para empresas;1
Fornecimento de alimentos preparados preponderantemente para empresas;1
Fornecimento de alimentos preparados preponderantemente para empresas;1.333333333
Fornecimento de alimentos preparados preponderantemente para empresas;2
Cantinas - serviços de alimentação privativos;1
Cantinas - serviços de alimentação privativos;4
Restaurantes e similares;1.25
Lanchonetes, casas de chá, de sucos e similares;1
Fornecimento de alimentos preparados preponderantemente para empresas;2.4
Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;1
Fornecimento de alimentos preparados preponderantemente para empresas;1
Fornecimento de alimentos preparados preponderantemente para empresas;1
Cantinas - serviços de alimentação privativos;1
Fornecimento de alimentos preparados preponderantemente para empresas;1.181818182
Cantinas - serviços de alimentação privativos;1.857142857
Transporte rodoviário de produtos perigosos;1.307692308
Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente;1.666666667
Limpeza em prédios e em domicílios;2
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Comércio a varejo de peças e acessórios novos para veículos automotores;3
Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração;1
Restaurantes e similares;4
Construção de edifícios;1
Serviços de engenharia;1
Lanchonetes, casas de chá, de sucos e similares;1
Consultoria em tecnologia da informação;1
Atividade médica ambulatorial com recursos para realização de exames complementares;1
Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis;1
Gestão e manutenção de cemitérios;1
Serviços de engenharia;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Restaurantes e similares;1
Comércio varejista de tintas e materiais para pintura;1
Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente;1
Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal;1.571428571
Transporte escolar;1
Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal;23
Limpeza em prédios e em domicílios;1
Comércio atacadista de material elétrico;2.5
Outras obras de engenharia civil não especificadas anteriormente;1
Planos de saúde;1
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;1
Instalação, manutenção e reparação de elevadores, escadas e esteiras rolantes;1
Condomínios prediais;1
Atividades de limpeza não especificadas anteriormente;1.4
Atividades de teleatendimento;1.4
Atividades de teleatendimento;1
Atividades de teleatendimento;2
Atividades de teleatendimento;1
Atividades de teleatendimento;1
Atividades de teleatendimento;1
Atividades de teleatendimento;1
Gestão e administração da propriedade imobiliária;1.818181818
Comércio atacadista de produtos alimentícios em geral;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Comércio varejista de combustíveis para veículos automotores;1
Comércio varejista de combustíveis para veículos automotores;1
Comércio varejista de combustíveis para veículos automotores;1
Fabricação de artefatos de material plástico para usos industriais;1
"Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças";1.333333333
Limpeza em prédios e em domicílios;1
Fabricação de carrocerias para ônibus;1
Fabricação de carrocerias para ônibus;2.5
Condomínios prediais;1
Condomínios prediais;1
Atividades de associações de defesa de direitos sociais;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;2
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.166666667
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;2.789473684
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.5
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.333333333
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1.142857143
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;2.2
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Abate de aves;1
Abate de aves;1.25
Comércio atacadista de carnes bovinas e suínas e derivados;1
Frigorífico - abate de bovinos;2.692307692
Frigorífico - abate de bovinos;1
Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;1
Fabricação de produtos de carne;1
Frigorífico - abate de bovinos;3.111111111
Preparação de subprodutos do abate;1
Frigorífico - abate de bovinos;1
Fornecimento e gestão de recursos humanos para terceiros;1
Fabricação de alimentos e pratos prontos;5
Fabricação de produtos de panificação industrial;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;1
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;4
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;1
Serviços de usinagem, tornearia e solda;1
Fabricação de medicamentos alopáticos para uso humano;1.2
Comércio atacadista de cosméticos e produtos de perfumaria;1
Serviços combinados de escritório e apoio administrativo;1
Administração pública em geral;1
Obras de montagem industrial;1
Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes;1
Moagem e fabricação de produtos de origem vegetal não especificados anteriormente;1
Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente;1
Fabricação de artefatos de joalheria e ourivesaria;1
Atividade médica ambulatorial com recursos para realização de exames complementares;1.3
Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;3.6
Comércio varejista de outros produtos não especificados anteriormente;2.5
